PLAYER_NAME,FGA,FGM,FG3A,FG3M,FG_PCT,FG3_PCT,EFG_PCT
Kelsey Mitchell,424,210,168,71,49.5,42.3,57.9
Caitlin Clark,334,143,165,55,42.8,33.3,51.0
Aliyah Boston,280,145,64,30,51.8,46.9,57.1
Sophie Cunningham,153,74,103,45,48.4,43.7,63.1
Lexie Hull,125,54,67,23,43.2,34.3,52.4
Monique Billings,113,56,15,5,49.6,33.3,51.8
Raven Johnson,102,41,43,11,40.2,25.6,45.6
Tyasha Harris,82,34,45,13,41.5,28.9,49.4
Myisha Hines-Allen,78,39,14,5,50.0,35.7,53.2
Makayla Timpson,61,35,0,0,57.4,,57.4
Damiris Dantas,32,13,20,7,40.6,35.0,51.6
Bree Hall,5,2,1,1,40.0,100.0,50.0
Grace VanSlooten,3,3,0,0,100.0,,100.0
